"","team_api_id","team_long_name","BuildUpPlay","ChanceCreation","defence","goals"
"1",1601,"Ruch Chorzów",156,205,175,280
"2",1773,"Oud-Heverlee Leuven",153,157,137,126
"3",1957,"Jagiellonia Białystok",189,165,210,287
"4",2033,"S.C. Olhanense",182,178,155,138
"5",2182,"Lech Poznań",179,208,181,372
"6",2183,"P. Warszawa",81,210,177,184
"7",2186,"Cracovia",166,210,205,235
"8",4087,"Évian Thonon Gaillard FC",177,182,168,180
"9",4170,"US Boulogne Cote D'Opale",87,177,200,31
"10",6269,"Novara",185,181,173,34
"11",6351,"KAS Eupen",105,160,155,28
"12",6391,"GFC Ajaccio",166,179,146,37
"13",6403,"FC Paços de Ferreira",153,184,168,292
"14",6413,"PEC Zwolle",154,165,181,204
"15",6421,"Leixões SC",60,165,90,55
"16",6433,"Go Ahead Eagles",169,132,141,74
"17",6493,"AC Bellinzona",101,175,151,128
"18",6547,"FC Penafiel",147,146,121,29
"19",6631,"FC Dordrecht",134,176,164,24
"20",7730,"FC Lausanne-Sports",166,172,170,99
"21",7788,"SC Cambuur",141,159,138,119
"22",7794,"SC Bastia",180,162,210,165
"23",7819,"SM Caen",167,180,205,220
"24",7841,"Rio Ave FC",163,190,161,248
"25",7842,"Estoril Praia",174,139,150,167
"26",7844,"Vitória Guimarães",164,191,182,300
"27",7869,"Córdoba CF",159,186,133,22
"28",7878,"Granada CF",178,203,171,179
"29",7943,"Sassuolo",188,193,154,141
"30",7955,"Neuchâtel Xamax",110,190,150,171
"31",8019,"Górnik Łęczna",140,139,149,61
"32",8020,"Polonia Bytom",96,150,185,245
"33",8021,"Zagłębie Lubin",164,203,210,207
"34",8023,"Pogoń Szczecin",169,185,180,152
"35",8024,"Widzew Łódź",190,192,160,122
"36",8025,"Śląsk Wrocław",183,188,181,318
"37",8027,"Zawisza Bydgoszcz",145,168,143,75
"38",8028,"Piast Gliwice",183,200,195,204
"39",8030,"Lechia Gdańsk",163,201,205,279
"40",8031,"Polonia Bytom",96,150,185,88
"41",8033,"Podbeskidzie Bielsko-Biała",193,166,152,169
"42",8066,"Inverness Caledonian Thistle",177,192,155,345
"43",8121,"Angers SCO",176,182,151,40
"44",8152,"FC St. Pauli",176,208,189,35
"45",8165,"1. FC Nürnberg",158,198,163,193
"46",8177,"Hertha BSC Berlin",175,197,172,238
"47",8178,"Bayer 04 Leverkusen",158,217,212,483
"48",8191,"Burnley",176,212,205,70
"49",8194,"Fortuna Düsseldorf",210,193,180,39
"50",8197,"Leicester City",181,209,210,114
"51",8203,"KV Mechelen",169,155,190,285
"52",8226,"TSG 1899 Hoffenheim",187,202,203,400
"53",8234,"FC Ingolstadt 04",168,159,145,33
"54",8242,"Odra Wodzisław",75,155,205,50
"55",8244,"Widzew Łódź",190,192,160,50
"56",8245,"Korona Kielce",210,187,195,237
"57",8262,"SV Darmstadt 98",179,174,129,38
"58",8277,"Vitesse",162,193,184,423
"59",8284,"Dundee FC",146,164,156,127
"60",8295,"Karlsruher SC",180,206,176,30
"61",8302,"Sevilla FC",186,208,198,478
"62",8305,"Getafe CF",141,182,170,345
"63",8306,"UD Las Palmas",165,198,176,45
"64",8315,"Athletic Club de Bilbao",185,192,187,415
"65",8322,"Arka Gdynia",91,177,205,77
"66",8342,"Club Brugge KV",173,182,200,421
"67",8344,"Cardiff City",178,210,210,32
"68",8348,"Moreirense FC",139,144,138,101
"69",8350,"1. FC Kaiserslautern",175,194,210,72
"70",8357,"SpVgg Greuther Fürth",181,196,181,26
"71",8358,"SC Freiburg",178,192,171,245
"72",8370,"Rayo Vallecano",160,170,183,247
"73",8371,"CA Osasuna",162,193,182,232
"74",8372,"SD Eibar",165,179,142,83
"75",8388,"CD Numancia",172,166,167,38
"76",8394,"Real Zaragoza",154,179,158,159
"77",8398,"FC Energie Cottbus",166,194,206,30
"78",8406,"FC Augsburg",188,196,176,201
"79",8426,"Partick Thistle F.C.",145,162,145,135
"80",8429,"Hamilton Academical FC",188,214,195,185
"81",8455,"Chelsea",182,210,172,583
"82",8456,"Manchester City",165,215,184,606
"83",8457,"Dunfermline Athletic",115,168,148,40
"84",8460,"SC Paderborn 07",181,172,149,31
"85",8462,"Portsmouth",172,196,167,72
"86",8464,"N.E.C.",150,190,152,310
"87",8466,"Southampton",166,205,210,216
"88",8467,"St. Johnstone FC",180,154,170,308
"89",8472,"Sunderland",180,214,182,333
"90",8475,"Waasland-Beveren",160,146,114,105
"91",8479,"RC Recreativo",161,169,161,34
"92",8481,"AS Nancy-Lorraine",162,197,210,203
"93",8483,"Blackpool",186,205,210,55
"94",8485,"Aberdeen",204,212,200,365
"95",8521,"Stade Brestois 29",175,181,210,99
"96",8524,"Atalanta",160,173,186,283
"97",8525,"Willem II",171,188,168,222
"98",8526,"De Graafschap",78,157,147,130
"99",8528,"Wigan Athletic",177,197,197,200
"100",8529,"Cagliari",171,203,190,309
"101",8530,"Catania",177,195,156,251
"102",8533,"Chievo Verona",187,184,181,285
"103",8534,"Empoli",163,196,178,86
"104",8535,"Fiorentina",172,188,184,440
"105",8537,"Livorno",190,194,174,66
"106",8540,"Palermo",182,195,163,351
"107",8543,"Lazio",192,220,195,417
"108",8548,"Rangers",173,219,200,324
"109",8549,"Middlesbrough",174,212,176,28
"110",8550,"FC Metz",178,180,165,31
"111",8551,"Siena",149,186,165,149
"112",8558,"RCD Espanyol",175,212,188,338
"113",8559,"Bolton Wanderers",167,198,176,181
"114",8560,"Real Sociedad",162,190,172,316
"115",8564,"Milan",189,201,175,496
"116",8569,"GKS Bełchatów",167,195,200,190
"117",8571,"KV Kortrijk",155,171,185,267
"118",8573,"KV Oostende",155,140,133,102
"119",8576,"AC Ajaccio",174,185,168,116
"120",8581,"Levante UD",184,202,155,241
"121",8583,"AJ Auxerre",189,166,155,168
"122",8586,"Tottenham Hotspur",171,210,184,481
"123",8588,"RC Lens",167,195,200,107
"124",8592,"Olympique de Marseille",192,227,200,462
"125",8593,"Ajax",122,202,197,647
"126",8596,"Falkirk",140,200,200,68
"127",8597,"Kilmarnock",190,205,200,346
"128",8600,"Udinese",212,217,165,415
"129",8602,"Wolverhampton Wanderers",176,213,210,118
"130",8603,"Real Betis Balompié",159,206,165,225
"131",8611,"FC Twente",150,196,197,509
"132",8613,"Boavista FC",153,128,148,51
"133",8614,"Sparta Rotterdam",75,140,90,76
"134",8633,"Real Madrid CF",158,204,196,843
"135",8634,"FC Barcelona",129,184,205,849
"136",8635,"RSC Anderlecht",150,197,190,427
"137",8636,"Inter",203,207,173,496
"138",8639,"LOSC Lille",200,212,184,450
"139",8640,"PSV",155,202,183,652
"140",8649,"Ross County FC",157,157,143,192
"141",8650,"Liverpool",191,193,181,531
"142",8654,"West Ham United",189,197,165,326
"143",8655,"Blackburn Rovers",190,188,177,175
"144",8658,"Birmingham City",188,218,210,75
"145",8659,"West Bromwich Albion",164,200,210,305
"146",8661,"RCD Mallorca",172,165,163,238
"147",8667,"Hull City",165,196,210,144
"148",8668,"Everton",171,193,185,439
"149",8673,"Legia Warszawa",175,176,202,409
"150",8674,"FC Groningen",152,193,149,390
"151",8678,"Bournemouth",184,200,210,45
"152",8682,"Le Mans FC",120,198,200,79
"153",8686,"Roma",173,222,182,530
"154",8689,"FC Lorient",186,197,200,378
"155",8690,"Reggio Calabria",166,201,142,30
"156",8696,"Racing Santander",161,210,174,160
"157",8697,"SV Werder Bremen",188,216,208,423
"158",8721,"VfL Wolfsburg",194,211,192,463
"159",8722,"1. FC Köln",184,183,183,226
"160",9746,"Le Havre AC",163,184,183,30
"161",9747,"En Avant de Guingamp",179,179,163,122
"162",9748,"Olympique Lyonnais",177,204,200,497
"163",9761,"NAC Breda",166,155,145,294
"164",9764,"Gil Vicente FC",176,152,149,110
"165",9768,"Sporting CP",178,204,174,411
"166",9771,"União de Leiria, SAD",100,152,159,85
"167",9772,"SL Benfica",179,200,179,568
"168",9773,"FC Porto",173,200,186,541
"169",9776,"Eintracht Braunschweig",190,195,157,29
"170",9777,"Servette FC",103,183,170,77
"171",9783,"RC Deportivo de La Coruña",158,194,164,241
"172",9788,"Borussia Mönchengladbach",193,201,178,403
"173",9789,"Borussia Dortmund",174,199,189,551
"174",9790,"Hamburger SV",191,213,188,344
"175",9791,"Heracles Almelo",185,191,173,403
"176",9798,"Reading",178,214,200,43
"177",9800,"St. Mirren",198,210,200,257
"178",9803,"Roda JC Kerkrade",163,182,160,343
"179",9804,"Torino",209,206,146,241
"180",9807,"CF Os Belenenses",157,160,135,148
"181",9809,"Naval 1° de Maio",115,165,121,71
"182",9810,"Eintracht Frankfurt",154,192,172,296
"183",9817,"Watford",183,205,206,40
"184",9823,"FC Bayern Munich",140,207,196,653
"185",9824,"FC Vaduz",141,137,133,100
"186",9825,"Arsenal",166,161,173,573
"187",9826,"Crystal Palace",185,205,185,119
"188",9827,"Girondins de Bordeaux",167,205,197,404
"189",9829,"AS Monaco",188,171,205,287
"190",9830,"FC Nantes",189,174,156,135
"191",9831,"OGC Nice",201,191,210,342
"192",9836,"Dijon FCO",169,170,163,38
"193",9837,"Stade de Reims",169,175,140,168
"194",9839,"VVV-Venlo",102,174,159,152
"195",9847,"Paris Saint-Germain",185,195,210,568
"196",9850,"Norwich City",178,212,200,160
"197",9851,"Stade Rennais FC",172,200,210,367
"198",9853,"AS Saint-Étienne",185,185,164,371
"199",9855,"Grenoble Foot 38",140,195,195,55
"200",9857,"Bologna",173,184,159,263
"201",9858,"Brescia",148,194,159,34
"202",9860,"Heart of Midlothian",191,210,200,317
"203",9864,"Málaga CF",166,211,183,377
"204",9865,"UD Almería",176,181,205,202
"205",9867,"CD Tenerife",163,185,176,40
"206",9868,"Xerez Club Deportivo",118,183,170,38
"207",9869,"Real Sporting de Gijón",173,199,195,200
"208",9873,"Valenciennes FC",194,188,169,256
"209",9874,"FC Sochaux-Montbéliard",198,185,185,246
"210",9875,"Napoli",198,218,184,514
"211",9876,"Hellas Verona",172,173,169,145
"212",9878,"Pescara",182,194,155,27
"213",9879,"Fulham",164,199,146,265
"214",9880,"Cesena",154,171,162,98
"215",9882,"Sampdoria",181,195,175,318
"216",9885,"Juventus",162,222,203,543
"217",9888,"Lecce",100,180,170,121
"218",9891,"Frosinone",166,166,193,35
"219",9904,"Hannover 96",203,182,210,359
"220",9905,"1. FSV Mainz 05",179,199,180,320
"221",9906,"Atlético Madrid",170,218,173,524
"222",9908,"FC Utrecht",170,196,159,408
"223",9910,"RC Celta de Vigo",176,197,178,184
"224",9911,"VfL Bochum",188,186,185,72
"225",9912,"DSC Arminia Bielefeld",176,178,149,29
"226",9925,"Celtic",192,205,200,695
"227",9927,"Motherwell",187,205,200,403
"228",9930,"FC Aarau",164,189,159,153
"229",9931,"FC Basel",170,186,180,619
"230",9938,"Dundee United",198,207,200,438
"231",9941,"Toulouse FC",191,187,141,339
"232",9956,"Grasshopper Club Zürich",181,188,165,429
"233",9976,"Bari",170,193,167,76
"234",9984,"KSV Cercle Brugge",171,203,195,213
"235",9985,"Standard de Liège",190,186,206,341
"236",9986,"Sporting Charleroi",160,158,210,201
"237",9987,"KRC Genk",173,196,205,348
"238",9989,"Lierse SK",178,169,160,113
"239",9991,"KAA Gent",190,194,172,390
"240",9993,"Beerschot AC",110,185,210,174
"241",9994,"Sporting Lokeren",172,163,200,279
"242",9996,"Royal Excel Mouscron",150,150,140,42
"243",9997,"Sint-Truidense VV",108,160,150,115
"244",9998,"RAEC Mons",160,168,138,129
"245",9999,"KSV Roeselare",125,125,205,62
"246",10000,"SV Zulte-Waregem",167,165,200,306
"247",10001,"KVC Westerlo",158,181,210,217
"248",10003,"Swansea City",180,210,210,233
"249",10167,"Parma",156,204,190,272
"250",10172,"Queens Park Rangers",179,210,210,115
"251",10179,"FC Sion",178,187,146,371
"252",10189,"FC Schalke 04",176,204,207,426
"253",10190,"FC St. Gallen",158,158,157,276
"254",10191,"FC Thun",156,179,145,279
"255",10192,"BSC Young Boys",185,203,171,529
"256",10194,"Stoke City",196,197,171,322
"257",10199,"FC Luzern",174,199,161,421
"258",10205,"Villarreal CF",147,182,186,364
"259",10211,"SC Beira Mar",96,165,163,93
"260",10212,"CS Marítimo",182,208,148,316
"261",10214,"CD Nacional",167,172,161,332
"262",10215,"Académica de Coimbra",156,175,162,240
"263",10217,"ADO Den Haag",171,188,184,366
"264",10218,"Excelsior",183,174,112,154
"265",10219,"RKC Waalwijk",142,181,150,153
"266",10228,"SC Heerenveen",171,200,183,470
"267",10229,"AZ",166,207,190,492
"268",10233,"Genoa",190,202,172,392
"269",10235,"Feyenoord",154,177,161,489
"270",10238,"Vitória Setúbal",157,180,150,238
"271",10242,"ES Troyes AC",148,151,142,71
"272",10243,"FC Zürich",171,175,169,468
"273",10249,"Montpellier Hérault SC",177,175,210,344
"274",10251,"Hibernian",189,200,200,259
"275",10252,"Aston Villa",179,191,178,335
"276",10260,"Manchester United",166,207,172,582
"277",10261,"Newcastle United",187,195,172,324
"278",10264,"SC Braga",156,187,150,398
"279",10265,"Wisła Kraków",167,197,205,332
"280",10267,"Valencia CF",127,186,175,484
"281",10268,"Elche CF",180,177,159,65
"282",10269,"VfB Stuttgart",184,200,181,415
"283",10278,"Hércules Club de Fútbol",156,188,166,36
"284",10281,"Real Valladolid",164,193,176,170
"285",108893,"AC Arles-Avignon",169,141,159,21
"286",158085,"FC Arouca",174,160,113,101
"287",208931,"Carpi",191,164,152,37
"288",274581,"Royal Excel Mouscron",150,150,140,71
